account_status_id,account_status,account_creation_date
1453034cddcfd8f2,Active,2024-08-07T02:39:53.592034
666cf4226aa1d3cf,Active,2024-06-13T06:01:12.267052
8ef45ab3bac5f78d,Active,2024-06-27T08:10:15.357387
273c6ea083f7796a,Active,2025-03-22T13:55:25.712602
9aed698ab718b6eb,Active,2024-07-02T21:50:36.229793
7bf3e1378a7bc6cb,Active,2025-01-20T23:33:00.746907
32f641b022ae3dc5,Active,2024-05-24T14:07:56.073012
eac7de05cf474e10,Active,2024-09-29T17:56:13.531501
976fd5f0517b1aa0,Active,2025-04-27T05:27:37.020731
f809892b3bf4c418,Active,2024-11-21T02:28:02.815840
96366a5b530e3351,Active,2024-12-23T12:25:24.008250
f743b770666ca282,Active,2024-05-02T04:35:10.157740
28339441b5e1b75f,Active,2024-07-28T07:11:54.111790
1adafb47e4a5078c,Active,2024-07-02T21:06:23.433051
5a5b3b0c11cbef6b,Active,2024-10-30T21:08:16.979500
fe85a56cdc563904,Active,2024-08-10T07:25:38.662754
489b6152ebc16761,Active,2024-07-01T21:36:15.580529
c2571ea18eeb2827,Active,2025-01-14T06:35:12.853573
166d47c0b394f71d,Active,2024-05-09T06:14:54.580506
6c6883323170d281,Active,2024-10-17T10:25:14.669370
e64946f61bc31cb5,Active,2024-11-26T00:26:07.331025
4bea517cc285d294,Active,2024-12-16T19:12:37.398775
3c4962cfecdb209a,Active,2025-01-09T18:13:56.496723
7049dc1255e4fb4b,Active,2024-07-21T20:39:54.107214
7dac39fba79be1df,Active,2025-04-07T08:57:41.482421
def1c4a17b0f41ba,Active,2024-12-07T07:42:07.755159
c14ed5b9fd1cc6c4,Active,2025-02-12T03:48:56.410655
e59c934ac2395f77,Active,2024-10-04T20:41:13.463552
2dd056e3f1bdea9a,Active,2024-05-17T12:14:25.164047
3cf517889033fb5e,Active,2025-03-10T05:40:35.866652
f3a74165d27e2a36,Active,2024-09-16T16:05:51.267567
84793fc791b498d9,Active,2024-05-23T15:35:01.455731
58b564a8c66df58e,Active,2025-01-03T04:01:03.592354
ad60dbe465e946a6,Active,2025-04-26T05:31:26.750035
5a45d2cc2bfce496,Active,2025-02-10T16:35:38.850741
f1f9b2dc08d93f93,Active,2024-08-02T09:52:04.349525
c7e67ca00929cbd7,Active,2024-11-11T23:01:17.967433
9c42cd11dce33952,Active,2024-11-20T20:46:44.137142
f6631eef025b5ca5,Active,2024-06-07T11:45:54.603433
f756428eb1dc4c22,Active,2024-10-30T07:21:47.792061
e58ed88963106700,Active,2024-05-20T13:36:09.886848
9230351607588699,Active,2024-11-19T13:06:52.555117
2bb57f867b9a8893,Active,2024-11-21T23:12:46.021382
