transaction_id,customer_id,account_id,transaction_sk,account_status_id,biometric_id,two_fa_id,kyc_id,transaction_amount,account_balance,transaction_date
67976142ea7d,bc89-40a9-a3b8,ce9ff57f,4c11502d0308,1453034cddcfd8f2,7e948a792e1d4f03,bbbcb918130740c0,bbbcb918130740c0,2117.18,476.98,2025-02-04 01:12:21.915606
7efe4458a885,142c-4fe8-a0e7,a28defe3,dc97d5127093,666cf4226aa1d3cf,04fee8c9502666e9,04fee8c9502666e9,04fee8c9502666e9,2743.71,3899.23,2025-03-13 09:50:12.625914
3b83757750a9,fd51-46e6-851b,89fa6a68,cb5c18e79bd8,8ef45ab3bac5f78d,a40269f0fc302b75,a40269f0fc302b75,a40269f0fc302b75,732.82,438.93,2025-04-05 14:30:05.759490
06ca6f4cc69a,3825-47b8-9cab,b83cfe0b,29e6e2d61b68,273c6ea083f7796a,7e948a792e1d4f03,7e948a792e1d4f03,7e948a792e1d4f03,1663.34,5817.77,2025-03-24 04:10:09.741757
0839fc3e058b,deda-4e16-9b3d,e0c53cb8,14dd48a8d5b8,9aed698ab718b6eb,967411a08141324b,7e948a792e1d4f03,967411a08141324b,3779.96,-1107.66,2025-03-16 22:47:37.054409
be1d1efa2197,fa5d-4100-91b7,8dcdcd03,99b7cbaa542a,7bf3e1378a7bc6cb,8e0ffae909567088,7e948a792e1d4f03,8e0ffae909567088,3382.03,7269.51,2025-02-08 16:08:18.371624
34ab6712303a,3a9b-4dd4-8f12,310c0c00,83db581dac30,32f641b022ae3dc5,32b291e7f1752154,32b291e7f1752154,32b291e7f1752154,2963.3,-2003.24,2025-02-20 20:06:45.253429
ae24fc3d3348,3ff3-40bf-b66e,490617f2,fc0d8efee15b,eac7de05cf474e10,722c9a321b04c244,722c9a321b04c244,722c9a321b04c244,2300.79,-3451.55,2025-03-12 11:31:20.105819
de99f10c718b,b7e9-4aca-a970,9e8fc965,ad34236adbb3,976fd5f0517b1aa0,ff14a0b3f2934c59,ff14a0b3f2934c59,ff14a0b3f2934c59,750.78,-957.64,2025-04-25 05:29:14.998644
ef125e9953d2,42c1-4a62-af48,4d71c366,0d5bed1a9e00,f809892b3bf4c418,d65dd244932b9a9d,d65dd244932b9a9d,d65dd244932b9a9d,3413.18,5835.36,2025-03-30 10:24:07.561297
65a0c56811cd,d12d-4c9a-aaf9,711c21c9,a3f36552eb52,96366a5b530e3351,6634db82636f37f0,6634db82636f37f0,6634db82636f37f0,3266.3,2238.65,2025-04-27 19:13:58.556008
7d292dea9493,e213-42b0-b1ee,cd5f4822,bda1e5624894,f743b770666ca282,ad506c443325f4cc,ad506c443325f4cc,ad506c443325f4cc,2767.21,7845.16,2025-03-10 16:19:46.882794
e62d6651529e,b386-47a4-8991,0710d430,964792c55dea,28339441b5e1b75f,ca9b8c753bdd5a21,ca9b8c753bdd5a21,ca9b8c753bdd5a21,1170.36,5968.33,2025-04-06 02:44:33.536507
7b14f2e9702d,43f5-4a85-bbc9,d9178793,a39febad5db5,1adafb47e4a5078c,df2311a92a5ce119,7e948a792e1d4f03,df2311a92a5ce119,3465.08,3769.72,2025-04-26 08:29:26.700140
229aacf5e81e,5380-4904-a88c,cbc84759,925548a58c83,5a5b3b0c11cbef6b,a795b30e4c70d5d5,a795b30e4c70d5d5,a795b30e4c70d5d5,1585.09,-2892.44,2025-04-20 07:16:50.003505
05cca7f36ae9,9e87-404c-a208,e2add909,05792f8972d2,fe85a56cdc563904,d76ff2fb097fbbf4,7e948a792e1d4f03,d76ff2fb097fbbf4,284.23,-2700.7,2025-03-30 13:27:06.575636
c7afd701410d,8498-4113-b227,a07295e9,7386933a29fa,489b6152ebc16761,98f6b654870ab94b,98f6b654870ab94b,98f6b654870ab94b,2507.45,-3918.7,2025-03-10 11:05:08.279472
fa52bf5d2fdf,55fa-4ab8-858f,7cfc9b79,bda1e5624894,c2571ea18eeb2827,4887457c7a5359b8,4887457c7a5359b8,4887457c7a5359b8,3281.71,3312.41,2025-03-11 17:28:51.316996
2ab974672cd9,addc-4e13-ab3b,c083b73a,aa0df4bb88c5,166d47c0b394f71d,dd016c957a5583dc,dd016c957a5583dc,dd016c957a5583dc,648.83,-238.03,2025-03-11 09:08:57.636417
92459b1bc895,0d55-4b61-8a17,d1bdb8c0,09ca7ed6be90,6c6883323170d281,5bae713d2f32d6a3,7e948a792e1d4f03,5bae713d2f32d6a3,2382.63,3349.7,2025-04-14 16:50:24.062163
650c8186a576,9367-4a02-8fdc,7d7ddbed,6b7dcbf71970,e64946f61bc31cb5,1d57be37da5c8046,1d57be37da5c8046,1d57be37da5c8046,2061.83,3132.61,2025-02-28 15:34:05.588186
20e6d9d80b8d,b512-4df8-b5b1,4223623b,5f64fe76a596,4bea517cc285d294,b25f990c8f7d7bd8,7e948a792e1d4f03,b25f990c8f7d7bd8,3006.65,3619.04,2025-04-25 12:38:57.939431
d15d58007c02,0299-436a-8e48,b3ee4d3b,4d06ff656f2b,3c4962cfecdb209a,6e407ff54ec9df32,6e407ff54ec9df32,6e407ff54ec9df32,2250.71,2390.27,2025-04-18 14:33:51.577595
d342df6a8f93,50c7-4006-b14d,5738811d,1a99c857a0fa,7049dc1255e4fb4b,1656014cc21b0a67,1656014cc21b0a67,1656014cc21b0a67,1557.4,-1253.33,2025-02-28 06:27:13.474918
be3d7354ea6f,d276-4bdc-9d34,6dc7cac7,67e530ca0bb6,7dac39fba79be1df,cd420319c01b507b,cd420319c01b507b,cd420319c01b507b,731.69,3260.39,2025-02-06 07:37:31.559361
70b51d61fac3,f295-456e-9967,d39e198b,23cc1f4115e6,def1c4a17b0f41ba,7e948a792e1d4f03,bf5b6f6b32b1039e,bf5b6f6b32b1039e,1301.79,2231.36,2025-03-27 07:23:03.406494
d58cc35b1c8c,d301-4989-bfbb,ea83bf00,0910c1e524ba,c14ed5b9fd1cc6c4,877c782ecd18c670,877c782ecd18c670,877c782ecd18c670,289.6,-2479.78,2025-02-07 00:40:36.488804
97d2764414fd,f814-4102-bde1,c1a6423b,ec969f849ce8,e59c934ac2395f77,074e9a791af9c66e,7e948a792e1d4f03,074e9a791af9c66e,1790.54,5394.91,2025-04-28 15:16:45.656939
f5453e652603,218a-4536-8c99,9970cf60,031bea2e883c,2dd056e3f1bdea9a,8e9a468ab6a7ef4f,8e9a468ab6a7ef4f,8e9a468ab6a7ef4f,2633.29,6355.35,2025-03-11 21:57:23.117399
aa8c3bcabf85,ca3d-4859-85ce,7914f8a8,aff53b34b976,3cf517889033fb5e,5bb415f45e3abb37,5bb415f45e3abb37,5bb415f45e3abb37,2347.57,7536.05,2025-04-18 12:30:47.806240
